date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2025 0:00,19.4,12,25,0.3,,,3.4,,1014.3,
1/2/2025 0:00,18.5,12,24.7,1.4,,,3.9,,1015,
1/3/2025 0:00,18.3,12,24.1,0.3,,,5.4,,1015.6,
1/4/2025 0:00,19,15,24.4,1.9,,,5.1,,1015.6,
1/5/2025 0:00,18.1,12,25,0.2,,,5.3,,1015.1,
1/6/2025 0:00,17.1,10.7,23.5,0,,,5.2,,1015.4,
1/7/2025 0:00,17.2,9,24,0,,,3.6,,1015.4,
1/8/2025 0:00,18.9,11,26.4,0,,,5.5,,1014.3,
1/9/2025 0:00,19.2,13,25,1.6,,,6.4,,1014.1,
1/10/2025 0:00,19.3,16,24.5,3.6,,,4.8,,1015.4,
1/11/2025 0:00,18.8,12.6,24.9,3.1,,,7.5,,1015.3,
1/12/2025 0:00,19.6,14.1,27.1,0.2,,,9,,1013.7,
1/13/2025 0:00,19.8,14.7,26.3,0.2,,,10.1,,1012.6,
1/14/2025 0:00,18.9,11.3,26,0,,,5.2,,1013.1,
1/15/2025 0:00,17.7,11.3,23.5,0.6,,,6.9,,1015.1,
1/16/2025 0:00,17.9,10.4,25,0,,,1.2,,1015.5,
1/17/2025 0:00,18.4,11.3,25.9,0.2,,,5.6,,1014.6,
1/18/2025 0:00,19.3,12,28,0.1,,,4.8,,1013.1,
1/19/2025 0:00,20,14,27,0,,,3.8,,1012.8,
1/20/2025 0:00,20.1,11,29,0,,,6.8,,1012.6,
1/21/2025 0:00,19.1,11,27,0,,,3.3,,1013.3,
1/22/2025 0:00,19.4,11.7,25.5,0,,,11.5,,1014.1,
1/23/2025 0:00,19.5,13.5,26,0,,,7.2,,1013.2,
1/24/2025 0:00,18.9,13.7,25.4,0.3,,,4.2,,1012.6,
1/25/2025 0:00,19.6,12,27,0,,,3.1,,1012.3,
1/26/2025 0:00,20.2,13.2,26.8,0,,,9.2,,1012.9,
1/27/2025 0:00,19.7,15,25.1,0.4,,,9.5,,1013,
1/28/2025 0:00,19.6,16.4,25.1,4.3,,,10.2,,1013.2,
1/29/2025 0:00,19.1,15.9,25.7,20,,,9,,1014,
1/30/2025 0:00,18.5,15.7,23.3,23.3,,,10,,1014.7,
1/31/2025 0:00,19,13.1,25.9,0.5,,,8,,1012.8,
2/1/2025 0:00,19.3,14,24.8,0.2,,,7.6,,1013.3,
2/2/2025 0:00,19.8,12.4,25.4,0,,,8.7,,1012.5,
2/3/2025 0:00,19.9,13.2,26.3,0.3,,,8.2,,1012.3,
2/4/2025 0:00,18.7,12.4,24.7,0.1,,,9.1,,1013.5,
2/5/2025 0:00,18.6,10.8,27.2,0,,,9.9,,1012.7,
2/6/2025 0:00,19.1,13,25.9,0,,,8.9,,1012,
2/7/2025 0:00,19.5,13.6,25.5,0.6,,,9.6,,1013.7,
2/8/2025 0:00,20.1,12.4,25.5,0,,,9.4,,1013.7,
2/9/2025 0:00,20,12.7,28.1,0,,,10,,1013.1,
2/10/2025 0:00,20.3,12.8,27.5,0,,,10.9,,1012.2,
2/11/2025 0:00,19.6,15.9,26.1,0.9,,,12.4,,1013.2,
2/12/2025 0:00,18.5,14.6,22.6,2.8,,,13.8,,1014.8,
2/13/2025 0:00,18.7,14.3,23,1.1,,,11.3,,1015,
2/14/2025 0:00,19.7,13,26.5,0.5,,,9.7,,1014.7,
2/15/2025 0:00,20.5,14.8,25.9,0,,,8.1,,1014.1,
2/16/2025 0:00,20.9,16.5,27.4,0.2,,,7.1,,1013,
